leto,etapa,razdalja,težavnost,visinska_razlika,profil_etape,ime in priimek zmagovalca,narodnost zmagovalca,ekipa zmagovalca,čas zmagovalca,povprecna_hitrost
1903,1,467 km,ni podatka,ni podatka,ravninska etapa,Maurice Garin,FR,La Française,17:45:13,26.305 km/h
1903,2,374 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Hippolyte Aucouturier,FR,ni podatka,14:28:53,25.826 km/h
1903,3,423 km,ni podatka,ni podatka,ravninska etapa,Hippolyte Aucouturier,FR,ni podatka,17:55:04,23.608 km/h
1903,4,268 km,ni podatka,ni podatka,ravninska etapa,Charles Laeser,CH,ni podatka,8:46:00,30.57 km/h
1903,5,425 km,ni podatka,ni podatka,ravninska etapa,Maurice Garin,FR,La Française,16:26:31,25.849 km/h
1903,6,ni podatka,ni podatka,ni podatka,ni podatka,Maurice Garin,FR,La Française,18:09:00,25.6786 km/h
1904,1,467 km,ni podatka,ni podatka,ravninska etapa,Michel Frédérick,CH,ni podatka,17:45:00,26.31 km/h
1904,2,374 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Antoine Faure,FR,ni podatka,15:09:02,24.686 km/h
"1904,3,424 km,ni podatka,ni podatka,ravninska etapa,Henri Cornet,FR,ni podatka,"",,"",26.952 km/h"
"1904,4,268 km,ni podatka,ni podatka,ravninska etapa,François Beaugendre,FR,ni podatka,"",,"",30.917 km/h"
1904,5,425 km,ni podatka,ni podatka,ravninska etapa,Jean-Baptiste Dortignacq,FR,ni podatka,16:49:54,25.252 km/h
1904,6,ni podatka,ni podatka,ni podatka,ni podatka,Jean-Baptiste Dortignacq,FR,ni podatka,19:28:10,25.265 km/h
1905,1,340 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,11:25:00,29.78 km/h
1905,2,299 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Hippolyte Aucouturier,FR,ni podatka,10:11:00,29.36 km/h
1905,3,327 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,11:14:00,29.11 km/h
1905,4,348 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Hippolyte Aucouturier,FR,ni podatka,13:19:45,26.11 km/h
1905,5,192 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,7:24:00,25.95 km/h
1905,6,307 km,ni podatka,ni podatka,ravninska etapa,Jean-Baptiste Dortignacq,FR,ni podatka,12:07:45,25.31 km/h
1905,7,268 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,10:12:40,26.25 km/h
1905,8,257 km,ni podatka,ni podatka,ravninska etapa,Hippolyte Aucouturier,FR,ni podatka,8:25:45,30.49 km/h
1905,9,263 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,10:25:45,25.22 km/h
1905,10,167 km,ni podatka,ni podatka,ravninska etapa,Jean-Baptiste Dortignacq,FR,ni podatka,6:33:01,25.5 km/h
1905,11,ni podatka,ni podatka,ni podatka,ni podatka,Jean-Baptiste Dortignacq,FR,ni podatka,7:30:00,27.4805 km/h
1906,1,275 km,ni podatka,ni podatka,ravninska etapa,Émile Georget,FR,ni podatka,10:09:15,27.08 km/h
1906,2,400 km,ni podatka,ni podatka,ravninska etapa,René Pottier,FR,ni podatka,14:21:30,27.86 km/h
1906,3,416 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,René Pottier,FR,ni podatka,15:18:41,27.17 km/h
1906,4,311 km,ni podatka,ni podatka,ravninska etapa,René Pottier,FR,ni podatka,10:32:35,29.5 km/h
1906,5,345 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,René Pottier,FR,ni podatka,12:27:00,27.71 km/h
1906,6,292 km,ni podatka,ni podatka,ravninska etapa,Georges Passerieu,FR,ni podatka,11:21:17,25.72 km/h
1906,7,480 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,17:24:00,27.59 km/h
1906,8,300 km,ni podatka,ni podatka,ravninska etapa,Jean-Baptiste Dortignacq,FR,ni podatka,10:46:02,27.86 km/h
1906,9,338 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,12:03:00,28.05 km/h
1906,10,391 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,15:21:00,25.47 km/h
1906,11,321 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,12:54:00,24.88 km/h
1906,12,415 km,ni podatka,ni podatka,ravninska etapa,Georges Passerieu,FR,ni podatka,18:25:00,22.53 km/h
1906,13,ni podatka,ni podatka,ni podatka,ni podatka,René Pottier,FR,ni podatka,8:04:52,26.2856 km/h
1907,1,272 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,8:49:30,30.82 km/h
1907,2,398 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,13:39:15,29.15 km/h
1907,3,259 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Émile Georget,FR,ni podatka,7:46:18,33.33 km/h
1907,4,309 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Marcel Cadolle,FR,ni podatka,9:27:02,32.7 km/h
1907,5,311 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Émile Georget,FR,ni podatka,11:17:00,27.56 km/h
1907,6,345 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Georges Passerieu,FR,ni podatka,12:14:00,28.2 km/h
1907,7,345 km,ni podatka,ni podatka,ravninska etapa,Émile Georget,FR,ni podatka,12:36:00,27.38 km/h
1907,8,303 km,ni podatka,ni podatka,ravninska etapa,Émile Georget,FR,ni podatka,11:02:00,27.46 km/h
1907,9,299 km,ni podatka,ni podatka,ravninska etapa,Lucien Petit-Breton,FR,ni podatka,10:18:00,29.03 km/h
1907,10,269 km,ni podatka,ni podatka,ravninska etapa,Gustave Garrigou,FR,ni podatka,8:07:50,33.09 km/h
1907,11,391 km,ni podatka,ni podatka,ravninska etapa,Lucien Petit-Breton,FR,ni podatka,14:33:21,26.86 km/h
1907,12,321 km,ni podatka,ni podatka,ravninska etapa,Gustave Garrigou,FR,ni podatka,12:23:00,25.92 km/h
1907,13,415 km,ni podatka,ni podatka,ravninska etapa,Émile Georget,FR,ni podatka,16:13:30,25.58 km/h
1907,14,ni podatka,ni podatka,ni podatka,ni podatka,Georges Passerieu,FR,ni podatka,8:44:51,28.245 km/h
1908,1,272 km,ni podatka,ni podatka,ravninska etapa,Georges Passerieu,FR,ni podatka,8:27:00,32.19 km/h
1908,2,398 km,ni podatka,ni podatka,ravninska etapa,Lucien Petit-Breton,FR,ni podatka,13:12:00,30.15 km/h
1908,3,259 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,François Faber,LU,ni podatka,9:13:00,28.1 km/h
1908,4,309 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,François Faber,LU,ni podatka,9:52:03,31.31 km/h
1908,5,311 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Georges Passerieu,FR,ni podatka,11:08:00,27.93 km/h
1908,6,345 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,Jean-Baptiste Dortignacq,FR,ni podatka,12:12:00,28.28 km/h
1908,7,354 km,ni podatka,ni podatka,ravninska etapa,Lucien Petit-Breton,FR,ni podatka,12:05:00,29.3 km/h
1908,8,303 km,ni podatka,ni podatka,ravninska etapa,François Faber,LU,ni podatka,11:08:00,27.22 km/h
1908,9,299 km,ni podatka,ni podatka,ravninska etapa,Lucien Petit-Breton,FR,ni podatka,10:07:00,29.56 km/h
1908,10,269 km,ni podatka,ni podatka,ravninska etapa,Georges Paulmier,FR,ni podatka,8:25:00,31.96 km/h
1908,11,391 km,ni podatka,ni podatka,ravninska etapa,Lucien Petit-Breton,FR,ni podatka,14:05:00,27.76 km/h
1908,12,321 km,ni podatka,ni podatka,ravninska etapa,François Faber,LU,ni podatka,11:08:00,28.83 km/h
1908,13,415 km,ni podatka,ni podatka,ravninska etapa,Georges Passerieu,FR,ni podatka,16:23:00,25.33 km/h
1908,14,ni podatka,ni podatka,ni podatka,ni podatka,Lucien Petit-Breton,FR,ni podatka,8:41:18,28.7306 km/h
1909,1,272 km,ni podatka,ni podatka,ravninska etapa,Cyrille Van Hauwaert,BE,ni podatka,9:18:00,29.25 km/h
1909,2,398 km,ni podatka,ni podatka,ravninska etapa,François Faber,LU,ni podatka,14:09:00,28.13 km/h
1909,3,259 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,François Faber,LU,ni podatka,9:28:00,27.36 km/h
1909,4,309 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,François Faber,LU,ni podatka,10:44:00,28.79 km/h
1909,5,311 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,François Faber,LU,ni podatka,11:12:00,27.77 km/h
1909,6,346 km,ni podatka,ni podatka,gorska etapa z ravnim ciljem,François Faber,LU,ni podatka,12:09:00,28.48 km/h
1909,7,345 km,ni podatka,ni podatka,ravninska etapa,Ernest Paul,FR,ni podatka,12:43:00,27.13 km/h
1909,8,303 km,ni podatka,ni podatka,ravninska etapa,Jean Alavoine,FR,ni podatka,10:10:00,29.8 km/h
1909,9,299 km,ni podatka,ni podatka,ravninska etapa,Constant Ménager,FR,ni podatka,9:59:00,29.95 km/h
1909,10,269 km,ni podatka,ni podatka,ravninska etapa,François Faber,LU,ni podatka,8:02:00,33.49 km/h
1909,11,391 km,ni podatka,ni podatka,ravninska etapa,Louis Trousselier,FR,ni podatka,12:47:00,30.59 km/h
1909,12,321 km,ni podatka,ni podatka,ravninska etapa,Gustave Garrigou,FR,ni podatka,11:18:00,28.41 km/h
1909,13,424 km,ni podatka,ni podatka,ravninska etapa,Paul Duboc,FR,ni podatka,15:02:00,28.2 km/h
1909,14,ni podatka,ni podatka,ni podatka,ni podatka,Jean Alavoine,FR,ni podatka,8:53:00,28.5616 km/h
1910,1,269 km,ni podatka,ni podatka,ravninska etapa,Charles Crupelandt,FR,ni podatka,8:54:00,30.22 km/h
1910,2,398 km,ni podatka,ni podatka,ravninska etapa,François Faber,LU,ni podatka,13:08:00,30.3 km/h
